Отчет о продажах за период;;;;;;;
с 01.09.16 по 30.09.16;;;;;;;
По всем поставщикам, по фирме: Алекс. Суммы включают НДС.;;;;;;;
;;;;;;;
Код;Наименование;Цена;Кол-во;Сумма;Себестоимость;Эффективность;
;;;;;;Сумма;Процент
;ZОтчет 2/1545;285,00 руб.;1,00 шт.;285,00 руб.;195,15 руб.;89,85 руб.;46,04%
;ZОтчет 51#00000000000003129;234,00 руб.;1,00 шт.;234,00 руб.;194,30 руб.;39,70 руб.;20,43%
;ZОтчет 10/1127;300,00 руб.;1,00 шт.;300,00 руб.;195,15 руб.;104,85 руб.;53,73%
;ZОтчет 18/1256;300,00 руб.;1,00 шт.;300,00 руб.;259,35 руб.;40,65 руб.;15,67%
84530;"Калькулятор""Citizen CT-300J"" 10разр.";230,00 руб.;5,00 шт.;1 150,00 руб.;681,85 руб.;468,15 руб.;68,66%
;ZОтчет 13/1493;230,00 руб.;1,00 шт.;230,00 руб.;136,70 руб.;93,30 руб.;68,25%
;ZОтчет 4/1526/15452;230,00 руб.;1,00 шт.;230,00 руб.;136,70 руб.;93,30 руб.;68,25%
;ZОтчет 18/1241;230,00 руб.;1,00 шт.;230,00 руб.;136,15 руб.;93,85 руб.;68,93%
;ZОтчет 19/882;230,00 руб.;1,00 шт.;230,00 руб.;136,15 руб.;93,85 руб.;68,93%
;ZОтчет 2/1558;230,00 руб.;1,00 шт.;230,00 руб.;136,15 руб.;93,85 руб.;68,93%
159951;"Калькулятор""Citizen CT-600J"" 12разр.";800,00 руб.;3,00 шт.;2 400,00 руб.;916,90 руб.;1 483,10 руб.;161,75%
;ZОтчет 13/1497;800,00 руб.;1,00 шт.;800,00 руб.;306,50 руб.;493,50 руб.;161,01%
;ZОтчет 16/1514;800,00 руб.;1,00 шт.;800,00 руб.;305,20 руб.;494,80 руб.;162,12%
;ZОтчет 20/1560;800,00 руб.;1,00 шт.;800,00 руб.;305,20 руб.;494,80 руб.;162,12%
20201;"Калькулятор""Citizen CTC-110BLWB"" 10разр. дв.пит.";360,00 руб.;1,00 шт.;360,00 руб.;231,55 руб.;128,45 руб.;55,47%
;ZОтчет 18/1234;360,00 руб.;1,00 шт.;360,00 руб.;231,55 руб.;128,45 руб.;55,47%
4060;"Калькулятор""Citizen CTC-110RDWB"" 10разр. дв.пит.";552,50 руб.;1,00 шт.;552,50 руб.;323,95 руб.;228,55 руб.;70,55%
;ZОтчет 19/878;552,50 руб.;1,00 шт.;552,50 руб.;323,95 руб.;228,55 руб.;70,55%
22415;"Калькулятор""Citizen LC-110N"" 8разр.";189,67 руб.;12,00 шт.;2 276,00 руб.;1 203,95 руб.;1 072,05 руб.;89,04%
;ZОтчет 19/867;200,00 руб.;1,00 шт.;200,00 руб.;130,94 руб.;69,06 руб.;52,74%
;ZОтчет 18/1233;190,00 руб.;1,00 шт.;190,00 руб.;79,43 руб.;110,57 руб.;139,2%
;ZОтчет 17/1395;200,00 руб.;1,00 шт.;200,00 руб.;78,48 руб.;121,52 руб.;154,84%
;ZОтчет 19/878;170,00 руб.;1,00 шт.;170,00 руб.;130,94 руб.;39,06 руб.;29,83%
;ZОтчет 15/1515;200,00 руб.;1,00 шт.;200,00 руб.;77,36 руб.;122,64 руб.;158,53%
;ZОтчет 15/1518;200,00 руб.;1,00 шт.;200,00 руб.;130,94 руб.;69,06 руб.;52,74%
;ZОтчет 2/1557;170,00 руб.;1,00 шт.;170,00 руб.;77,36 руб.;92,64 руб.;119,75%
;ZОтчет 4/1535;190,00 руб.;1,00 шт.;190,00 руб.;79,43 руб.;110,57 руб.;139,2%
;ZОтчет 12/1523;200,00 руб.;1,00 шт.;200,00 руб.;79,83 руб.;120,17 руб.;150,53%
;ZОтчет 51#00000000000003145;156,00 руб.;1,00 шт.;156,00 руб.;77,36 руб.;78,64 руб.;101,65%
;ZОтчет 16/1530;200,00 руб.;1,00 шт.;200,00 руб.;130,94 руб.;69,06 руб.;52,74%
;ZОтчет 8/1504/10065;200,00 руб.;1,00 шт.;200,00 руб.;130,94 руб.;69,06 руб.;52,74%
33752;"Калькулятор""Citizen LC-210N""";200,00 руб.;2,00 шт.;400,00 руб.;161,48 руб.;238,52 руб.;147,71%
;ZОтчет 10/1118;200,00 руб.;1,00 шт.;200,00 руб.;79,89 руб.;120,11 руб.;150,34%
;ZОтчет 16/1527;200,00 руб.;1,00 шт.;200,00 руб.;81,59 руб.;118,41 руб.;145,13%
