Отчет о продажах за период;;;;;;;
с 16.09.16 по 28.10.16;;;;;;;
По всем поставщикам, по фирме: Алекс. Суммы включают НДС.;;;;;;;
;;;;;;;
Код;Наименование;Цена;Кол-во;Сумма;Себестоимость;Эффективность;
;;;;;;Сумма;Процент
Возврат товара;;;;-1 480,00 руб.;-879,51 руб.;-600,49 руб.;68,28%
;ZОтчет 19/893;220,00 руб.;1,00 шт.;220,00 руб.;136,85 руб.;83,15 руб.;60,76%
;ZОтчет 4/1556;220,00 руб.;1,00 шт.;220,00 руб.;136,85 руб.;83,15 руб.;60,76%
;ZОтчет 11/1605;220,00 руб.;1,00 шт.;220,00 руб.;136,85 руб.;83,15 руб.;60,76%
;ZОтчет 5/1550/16112;220,00 руб.;1,00 шт.;220,00 руб.;136,85 руб.;83,15 руб.;60,76%
84621;"Калькулятор""Casio LC-160LV-BK-S-EH"" 8разр.";185,00 руб.;2,00 шт.;370,00 руб.;205,80 руб.;164,20 руб.;79,79%
;ZОтчет 9/2958;185,00 руб.;1,00 шт.;185,00 руб.;102,90 руб.;82,10 руб.;79,79%
;ZОтчет 19/887;185,00 руб.;1,00 шт.;185,00 руб.;102,90 руб.;82,10 руб.;79,79%
3938;"Калькулятор""Citizen CPC-110RDWB"" 10разр. дв.пит.";250,00 руб.;1,00 шт.;250,00 руб.;179,70 руб.;70,30 руб.;39,12%
;ZОтчет 19/888;250,00 руб.;1,00 шт.;250,00 руб.;179,70 руб.;70,30 руб.;39,12%
108261;"Калькулятор""Citizen CPC-112GLWB"" 12разр. дв.пит.";300,00 руб.;2,00 шт.;600,00 руб.;305,90 руб.;294,10 руб.;96,14%
;ZОтчет 18/1252;300,00 руб.;1,00 шт.;300,00 руб.;150,00 руб.;150,00 руб.;100%
;ZОтчет 15/1541;300,00 руб.;1,00 шт.;300,00 руб.;155,90 руб.;144,10 руб.;92,43%
77395;"Калькулятор""Citizen CPC-112RDWB"" 12разр. дв.пит.";300,00 руб.;4,00 шт.;1 200,00 руб.;798,80 руб.;401,20 руб.;50,23%
;ZОтчет 18/1256;300,00 руб.;1,00 шт.;300,00 руб.;259,35 руб.;40,65 руб.;15,67%
;ZОтчет 19/898;300,00 руб.;1,00 шт.;300,00 руб.;150,00 руб.;150,00 руб.;100%
;ZОтчет 13/1530;300,00 руб.;1,00 шт.;300,00 руб.;195,15 руб.;104,85 руб.;53,73%
;ZОтчет 5/1556/16243;300,00 руб.;1,00 шт.;300,00 руб.;194,30 руб.;105,70 руб.;54,4%
84530;"Калькулятор""Citizen CT-300J"" 10разр.";230,00 руб.;4,00 шт.;920,00 руб.;545,15 руб.;374,85 руб.;68,76%
;ZОтчет 19/882;230,00 руб.;1,00 шт.;230,00 руб.;136,15 руб.;93,85 руб.;68,93%
;ZОтчет 2/1558;230,00 руб.;1,00 шт.;230,00 руб.;136,15 руб.;93,85 руб.;68,93%
;ZОтчет 15/1546;230,00 руб.;1,00 шт.;230,00 руб.;136,15 руб.;93,85 руб.;68,93%
;ZОтчет 5/1555/16200;230,00 руб.;1,00 шт.;230,00 руб.;136,70 руб.;93,30 руб.;68,25%
159951;"Калькулятор""Citizen CT-600J"" 12разр.";800,00 руб.;2,00 шт.;1 600,00 руб.;610,40 руб.;989,60 руб.;162,12%
;ZОтчет 20/1560;800,00 руб.;1,00 шт.;800,00 руб.;305,20 руб.;494,80 руб.;162,12%
;ZОтчет 15/1548;800,00 руб.;1,00 шт.;800,00 руб.;305,20 руб.;494,80 руб.;162,12%
22415;"Калькулятор""Citizen LC-110N"" 8разр.";188,36 руб.;11,00 шт.;2 072,00 руб.;1 176,98 руб.;895,02 руб.;76,04%
;ZОтчет 15/1518;200,00 руб.;1,00 шт.;200,00 руб.;130,94 руб.;69,06 руб.;52,74%
;ZОтчет 2/1557;170,00 руб.;1,00 шт.;170,00 руб.;77,36 руб.;92,64 руб.;119,75%
;ZОтчет 4/1535;190,00 руб.;1,00 шт.;190,00 руб.;79,43 руб.;110,57 руб.;139,2%
;ZОтчет 12/1523;200,00 руб.;1,00 шт.;200,00 руб.;79,83 руб.;120,17 руб.;150,53%
;ZОтчет 51#00000000000003145;156,00 руб.;1,00 шт.;156,00 руб.;77,36 руб.;78,64 руб.;101,65%
;ZОтчет 16/1530;200,00 руб.;1,00 шт.;200,00 руб.;130,94 руб.;69,06 руб.;52,74%
;ZОтчет 8/1504/10065;200,00 руб.;1,00 шт.;200,00 руб.;130,94 руб.;69,06 руб.;52,74%
;ZОтчет 16/1538;200,00 руб.;1,00 шт.;200,00 руб.;130,94 руб.;69,06 руб.;52,74%
;ZОтчет 16/1543;200,00 руб.;1,00 шт.;200,00 руб.;130,94 руб.;69,06 руб.;52,74%
;ZОтчет 51#00000000000003163;156,00 руб.;1,00 шт.;156,00 руб.;77,36 руб.;78,64 руб.;101,65%
;ZОтчет 8/1521/10105;200,00 руб.;1,00 шт.;200,00 руб.;130,94 руб.;69,06 руб.;52,74%
33752;"Калькулятор""Citizen LC-210N""";200,00 руб.;5,00 шт.;1 000,00 руб.;570,58 руб.;429,42 руб.;75,26%
;ZОтчет 16/1527;200,00 руб.;1,00 шт.;200,00 руб.;81,59 руб.;118,41 руб.;145,13%
;ZОтчет 4/1546;200,00 руб.;1,00 шт.;200,00 руб.;81,59 руб.;118,41 руб.;145,13%
;ZОтчет 8/1510/10078;200,00 руб.;1,00 шт.;200,00 руб.;135,80 руб.;64,20 руб.;47,28%
;ZОтчет 15/1540;200,00 руб.;1,00 шт.;200,00 руб.;135,80 руб.;64,20 руб.;47,28%
;ZОтчет 15/1557;200,00 руб.;1,00 шт.;200,00 руб.;135,80 руб.;64,20 руб.;47,28%
22976;"Калькулятор""Citizen LC-310 N""";163,63 руб.;8,00 шт.;1 309,00 руб.;945,76 руб.;363,24 руб.;38,41%
;ZОтчет 19/893;144,50 руб.;1,00 шт.;144,50 руб.;118,22 руб.;26,28 руб.;22,23%
;ZОтчет 5/1531/15782;170,00 руб.;1,00 шт.;170,00 руб.;118,22 руб.;51,78 руб.;43,8%
;ZОтчет 8/1510/10078;170,00 руб.;1,00 шт.;170,00 руб.;118,22 руб.;51,78 руб.;43,8%
;ZОтчет 2/1579;170,00 руб.;1,00 шт.;170,00 руб.;118,22 руб.;51,78 руб.;43,8%
;ZОтчет 8/1516/10091;170,00 руб.;1,00 шт.;170,00 руб.;118,22 руб.;51,78 руб.;43,8%
;ZОтчет 19/913;144,50 руб.;1,00 шт.;144,50 руб.;118,22 руб.;26,28 руб.;22,23%
;ZОтчет 15/1553;170,00 руб.;1,00 шт.;170,00 руб.;118,22 руб.;51,78 руб.;43,8%
;ZОтчет 16/1553;170,00 руб.;1,00 шт.;170,00 руб.;118,22 руб.;51,78 руб.;43,8%
167683;"Калькулятор""Citizen SDC-011S"" 8разр.,дв.пит.";289,88 руб.;8,00 шт.;2 319,00 руб.;1 238,73 руб.;1 080,27 руб.;87,21%
;ZОтчет 18/1248;300,00 руб.;1,00 шт.;300,00 руб.;152,43 руб.;147,57 руб.;96,81%
;ZОтчет 51#00000000000003138;234,00 руб.;1,00 шт.;234,00 руб.;158,86 руб.;75,14 руб.;47,3%
;ZОтчет 15/1531;300,00 руб.;1,00 шт.;300,00 руб.;158,86 руб.;141,14 руб.;88,85%
;ZОтчет 18/1258;300,00 руб.;1,00 шт.;300,00 руб.;152,43 руб.;147,57 руб.;96,81%
;ZОтчет 16/1535;300,00 руб.;1,00 шт.;300,00 руб.;152,43 руб.;147,57 руб.;96,81%
;ZОтчет 7/1559/10098;300,00 руб.;1,00 шт.;300,00 руб.;152,43 руб.;147,57 руб.;96,81%
;ZОтчет 11/1612;300,00 руб.;1,00 шт.;300,00 руб.;158,86 руб.;141,14 руб.;88,85%
;ZОтчет 6/2968;285,00 руб.;1,00 шт.;285,00 руб.;152,43 руб.;132,57 руб.;86,97%
179022;"Калькулятор""Citizen SDC-022S"" 10разр.,дв.пит.";300,00 руб.;2,00 шт.;600,00 руб.;326,42 руб.;273,58 руб.;83,81%
