Отчет о продажах за период,,,,,,,
с 01.12.15 по 31.01.16,,,,,,,
"По всем поставщикам, по фирме: Алекс. Суммы включают НДС.",,,,,,,
,,,,,,,
Код,Наименование,Цена,Кол-во,Сумма,Себестоимость,Эффективность,
,,,,,,Сумма,Процент
Возврат товара,,,,"-382,50 руб.","-291,94 руб.","-90,56 руб.","31,02%"
,ZОтчет 18/1008,"125,00 руб.","1,00 шт.","125,00 руб.","78,48 руб.","46,52 руб.","59,28%"
33752,"Калькулятор""Citizen LC-210N""","125,31 руб.","18,00 шт.","2 255,50 руб.","1 408,40 руб.","847,10 руб.","60,15%"
,ZОтчет 3/1224/8216,"130,00 руб.","1,00 шт.","130,00 руб.","79,89 руб.","50,11 руб.","62,72%"
,ZОтчет 15/1231,"130,00 руб.","1,00 шт.","130,00 руб.","76,86 руб.","53,14 руб.","69,14%"
,ZОтчет 2/1267/8252,"130,00 руб.","1,00 шт.","130,00 руб.","76,86 руб.","53,14 руб.","69,14%"
,ZОтчет 9/2667,"130,00 руб.","1,00 шт.","130,00 руб.","79,89 руб.","50,11 руб.","62,72%"
,ZОтчет 9/2671,"130,00 руб.","1,00 шт.","130,00 руб.","79,89 руб.","50,11 руб.","62,72%"
,ZОтчет 18/970,"123,50 руб.","1,00 шт.","123,50 руб.","68,18 руб.","55,32 руб.","81,14%"
,ZОтчет 19/609,"97,50 руб.","1,00 шт.","97,50 руб.","79,89 руб.","17,61 руб.","22,04%"
,ZОтчет 13/1247,"130,00 руб.","1,00 шт.","130,00 руб.","76,86 руб.","53,14 руб.","69,14%"
,ZОтчет 18/977,"130,00 руб.","1,00 шт.","130,00 руб.","80,55 руб.","49,45 руб.","61,39%"
,ZОтчет 13/1265,"130,00 руб.","1,00 шт.","130,00 руб.","76,86 руб.","53,14 руб.","69,14%"
,ZОтчет 19/631,"130,00 руб.","1,00 шт.","130,00 руб.","79,89 руб.","50,11 руб.","62,72%"
,ZОтчет 2/1309/8999,"123,50 руб.","1,00 шт.","123,50 руб.","76,86 руб.","46,64 руб.","60,68%"
,ZОтчет 15/1275,"130,00 руб.","1,00 шт.","130,00 руб.","76,86 руб.","53,14 руб.","69,14%"
