Отчет о продажах за период,,,,,,,
с 01.01.16 по 31.01.16,,,,,,,
"По всем поставщикам, по фирме: Алекс. Суммы включают НДС.",,,,,,,
,,,,,,,
Код,Наименование,Цена,Кол-во,Сумма,Себестоимость,Эффективность,
,,,,,,Сумма,Процент
,ZОтчет 51#00000000000002935,"673,14 руб.","1,00 шт.","673,14 руб.","479,00 руб.","194,14 руб.","40,53%"
,ZОтчет 2/1315/9102,"850,00 руб.","1,00 шт.","850,00 руб.","479,00 руб.","371,00 руб.","77,45%"
,ZОтчет 19/648,"850,00 руб.","1,00 шт.","850,00 руб.","531,57 руб.","318,43 руб.","59,9%"
,ZОтчет 11/1345,"850,00 руб.","1,00 шт.","850,00 руб.","403,07 руб.","446,93 руб.","110,88%"
186504,"Калькулятор""Citizen SDC-888XRD"" 12разр.бухгалтерский","963,67 руб.","3,00 шт.","2 891,00 руб.","1 581,40 руб.","1 309,60 руб.","82,81%"
,ZОтчет 2/1303/8890,"980,00 руб.","1,00 шт.","980,00 руб.","542,45 руб.","437,55 руб.","80,66%"
,ZОтчет 15/1272,"980,00 руб.","1,00 шт.","980,00 руб.","542,45 руб.","437,55 руб.","80,66%"
,ZОтчет 6/2697,"931,00 руб.","1,00 шт.","931,00 руб.","496,50 руб.","434,50 руб.","87,51%"
186503,"Калькулятор""Citizen SDC-888XWH"" 12разр.бухгалтерский","980,00 руб.","1,00 шт.","980,00 руб.","537,73 руб.","442,27 руб.","82,25%"
,ZОтчет 2/1303/8890,"980,00 руб.","1,00 шт.","980,00 руб.","537,73 руб.","442,27 руб.","82,25%"
22417,"Калькулятор""Citizen SLD-100 N"" 8разр.","126,45 руб.","11,00 шт.","1 391,00 руб.","890,29 руб.","500,71 руб.","56,24%"
,ZОтчет 16/1266,"110,50 руб.","1,00 шт.","110,50 руб.","81,93 руб.","28,57 руб.","34,87%"
,ZОтчет 12/1273,"130,00 руб.","1,00 шт.","130,00 руб.","81,93 руб.","48,07 руб.","58,67%"
,ZОтчет 3/1260/8943,"130,00 руб.","1,00 шт.","130,00 руб.","78,85 руб.","51,15 руб.","64,87%"
,ZОтчет 18/997,"130,00 руб.","1,00 шт.","130,00 руб.","78,85 руб.","51,15 руб.","64,87%"
,ZОтчет 13/1272,"110,50 руб.","1,00 шт.","110,50 руб.","81,93 руб.","28,57 руб.","34,87%"
,ZОтчет 20/1312,"130,00 руб.","1,00 шт.","130,00 руб.","78,85 руб.","51,15 руб.","64,87%"
,ZОтчет 20/1313,"130,00 руб.","1,00 шт.","130,00 руб.","78,85 руб.","51,15 руб.","64,87%"
,ZОтчет 12/1286,"130,00 руб.","1,00 шт.","130,00 руб.","81,93 руб.","48,07 руб.","58,67%"
